Date,High,Low,Open,Close,Volume,Adj Close
2020-09-17,10.09000015258789,9.850000381469727,9.899999618530273,10.029999732971191,115100,10.029999732971191
2020-09-18,10.260000228881836,9.979999542236328,10.09000015258789,10.1899995803833,253400,10.1899995803833
2020-09-21,10.260000228881836,9.9399995803833,10.020000457763672,10.229999542236328,137400,10.229999542236328
2020-09-22,10.40999984741211,10.130000114440918,10.3100004196167,10.369999885559082,117000,10.369999885559082
2020-09-23,10.350000381469727,9.899999618530273,10.329999923706055,10.0,156200,10.0
2020-09-24,9.979999542236328,9.680000305175781,9.920000076293945,9.739999771118164,129100,9.739999771118164
2020-09-25,10.0,9.65999984741211,9.670000076293945,9.9399995803833,142100,9.9399995803833
2020-09-28,10.170000076293945,9.9399995803833,10.050000190734863,10.119999885559082,96400,10.119999885559082
2020-09-29,10.619999885559082,10.229999542236328,10.420000076293945,10.390000343322754,117300,10.390000343322754
2020-09-30,10.460000038146973,10.119999885559082,10.369999885559082,10.239999771118164,126500,10.239999771118164
2020-10-01,10.430000305175781,10.15999984741211,10.369999885559082,10.34000015258789,119900,10.34000015258789
2020-10-02,10.289999961853027,10.0,10.15999984741211,10.050000190734863,107100,10.050000190734863
2020-10-05,10.3100004196167,9.970000267028809,10.09000015258789,10.289999961853027,90300,10.289999961853027
2020-10-06,10.760000228881836,10.270000457763672,10.319999694824219,10.529999732971191,118500,10.529999732971191
2020-10-07,10.829999923706055,10.5600004196167,10.600000381469727,10.770000457763672,92000,10.770000457763672
2020-10-08,11.0,10.630000114440918,10.949999809265137,10.710000038146973,89000,10.710000038146973
2020-10-09,10.930000305175781,10.6899995803833,10.84000015258789,10.720000267028809,70700,10.720000267028809
2020-10-12,11.0600004196167,10.40999984741211,10.829999923706055,10.989999771118164,85900,10.989999771118164
2020-10-13,11.25,10.899999618530273,10.930000305175781,11.210000038146973,91600,11.210000038146973
2020-10-14,12.329999923706055,11.430000305175781,11.430000305175781,11.529999732971191,177400,11.529999732971191
2020-10-15,11.819999694824219,10.949999809265137,11.34000015258789,11.789999961853027,165500,11.789999961853027
2020-10-16,11.970000267028809,11.770000457763672,11.800000190734863,11.819999694824219,214700,11.819999694824219
2020-10-19,12.130000114440918,11.800000190734863,11.800000190734863,11.989999771118164,166300,11.989999771118164
2020-10-20,12.199999809265137,11.619999885559082,12.130000114440918,11.930000305175781,199800,11.930000305175781
2020-10-21,12.800000190734863,12.0,12.0,12.460000038146973,531800,12.460000038146973
2020-10-22,13.760000228881836,12.600000381469727,13.75,12.949999809265137,1108900,12.949999809265137
2020-10-23,14.109999656677246,12.949999809265137,13.109999656677246,13.899999618530273,1282000,13.899999618530273
2020-10-26,13.770000457763672,13.100000381469727,13.579999923706055,13.550000190734863,520700,13.550000190734863
2020-10-27,13.6899995803833,13.149999618530273,13.539999961853027,13.4399995803833,273700,13.4399995803833
2020-10-28,13.279999732971191,12.800000190734863,12.960000038146973,13.119999885559082,556500,13.119999885559082
2020-10-29,14.069999694824219,12.65999984741211,13.279999732971191,13.25,1068000,13.25
2020-10-30,13.359999656677246,12.5,13.300000190734863,12.649999618530273,323000,12.649999618530273
2020-11-02,12.729999542236328,12.149999618530273,12.649999618530273,12.579999923706055,366900,12.579999923706055
2020-11-03,12.90999984741211,12.600000381469727,12.739999771118164,12.789999961853027,136000,12.789999961853027
2020-11-04,13.0,12.550000190734863,12.84000015258789,12.739999771118164,105500,12.739999771118164
2020-11-05,13.229999542236328,12.739999771118164,12.880000114440918,13.0600004196167,153300,13.0600004196167
2020-11-06,13.039999961853027,12.609999656677246,13.0,12.970000267028809,153700,12.970000267028809
2020-11-09,13.710000038146973,12.529999732971191,13.479999542236328,12.529999732971191,241000,12.529999732971191
2020-11-10,12.65999984741211,12.199999809265137,12.609999656677246,12.319999694824219,164900,12.319999694824219
2020-11-11,12.680000305175781,12.220000267028809,12.4399995803833,12.65999984741211,157500,12.65999984741211
2020-11-12,12.899999618530273,12.569999694824219,12.670000076293945,12.65999984741211,93100,12.65999984741211
2020-11-13,12.970000267028809,12.65999984741211,12.789999961853027,12.84000015258789,121800,12.84000015258789
2020-11-16,13.34000015258789,12.800000190734863,13.069999694824219,12.979999542236328,179000,12.979999542236328
2020-11-17,13.119999885559082,12.65999984741211,12.979999542236328,13.0600004196167,136300,13.0600004196167
2020-11-18,13.289999961853027,12.850000381469727,13.130000114440918,12.869999885559082,127000,12.869999885559082
2020-11-19,13.239999771118164,12.8100004196167,12.869999885559082,13.1899995803833,169700,13.1899995803833
2020-11-20,13.40999984741211,13.010000228881836,13.109999656677246,13.399999618530273,185300,13.399999618530273
2020-11-23,14.069999694824219,13.390000343322754,13.5,13.890000343322754,299500,13.890000343322754
2020-11-24,14.210000038146973,13.130000114440918,14.1899995803833,13.1899995803833,278500,13.1899995803833
2020-11-25,15.710000038146973,12.930000305175781,13.199999809265137,15.380000114440918,2681800,15.380000114440918
2020-11-27,16.100000381469727,14.710000038146973,15.920000076293945,15.420000076293945,500900,15.420000076293945
2020-11-30,17.520000457763672,15.649999618530273,15.75,16.700000762939453,1425500,16.700000762939453
2020-12-01,17.280000686645508,16.079999923706055,17.0,16.56999969482422,920200,16.56999969482422
2020-12-02,16.56999969482422,15.739999771118164,16.350000381469727,15.930000305175781,387300,15.930000305175781
2020-12-03,17.600000381469727,16.100000381469727,16.15999984741211,17.290000915527344,560300,17.290000915527344
2020-12-04,17.690000534057617,17.219999313354492,17.43000030517578,17.56999969482422,481800,17.56999969482422
2020-12-07,17.790000915527344,17.420000076293945,17.700000762939453,17.56999969482422,221100,17.56999969482422
2020-12-08,17.829999923706055,17.270000457763672,17.559999465942383,17.770000457763672,226800,17.770000457763672
2020-12-09,18.239999771118164,17.059999465942383,17.829999923706055,17.239999771118164,374700,17.239999771118164
2020-12-10,17.450000762939453,16.989999771118164,17.149999618530273,17.31999969482422,311700,17.31999969482422
2020-12-11,17.549999237060547,16.81999969482422,17.25,16.8799991607666,259300,16.8799991607666
2020-12-14,17.290000915527344,16.84000015258789,16.84000015258789,17.020000457763672,179900,17.020000457763672
